version	doi	court_source	court_target	year_target	nr_citations
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"ESP"	"2014"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"1981"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"1983"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"1985"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"1987"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"1988"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"1990"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"1992"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"1993"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"1994"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"1995"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"1996"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"1998"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"2000"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"2002"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"2004"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"2005"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"2008"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"2009"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"2010"	4.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"2011"	4.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"2012"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"2013"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"2014"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"2017"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"ESP"	"2018"	9.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"ESP"	"1981"	6.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"ESP"	"1982"	6.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"ESP"	"1983"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"ESP"	"1984"	10.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"ESP"	"1985"	9.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"ESP"	"1986"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"ESP"	"1987"	22.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"ESP"	"1988"	35.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"ESP"	"1989"	14.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"ESP"	"1990"	25.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"ESP"	"1991"	20.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"ESP"	"1992"	14.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"ESP"	"1993"	27.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"ESP"	"1994"	42.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"ESP"	"1995"	65.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"ESP"	"1996"	23.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"ESP"	"1997"	44.0
